x1,y1,x2,y2
2098.872,656.303,2050.503,2325.108
2098.957,656.616,2050.969,2325.474
2098.492,657.752,2050.795,2324.324
2098.834,657.233,2050.843,2324.354
2098.668,655.319,2050.319,2326.172
2098.466,656.659,2050.396,2324.984
2098.707,657.357,2050.612,2324.3
2098.474,655.079,2050.206,2326.162
2098.237,658.114,2050.215,2323.729
2098.24,659.574,2050.077,2322.037
2097.626,656.213,2049.955,2325.268
2098.012,657.518,2050.11,2323.102
2097.936,657.74,2049.855,2323.989
2098.187,655.456,2050.007,2325.314
2097.851,655.953,2049.848,2325.109
2097.784,656.901,2049.962,2326.899
2097.542,656.688,2049.687,2327.166
2097.702,656.523,2049.753,2327.428
2097.468,656.452,2049.711,2327.523
2097.499,656.38,2049.656,2327.62
2097.488,656.39,2049.603,2327.633
2097.482,656.349,2049.627,2327.68
2097.492,656.305,2049.643,2327.732
2097.604,656.23,2049.695,2327.819
2097.211,655.577,2049.374,2328.578
2099.125,652.849,2051.219,2327.953
2099.246,659.317,2051.32,2323.008
2099.208,656.634,2050.755,2326.584
2098.939,657.338,2050.982,2325.676
2098.745,656.252,2050.781,2327.078
2098.569,659.332,2050.842,2322.423
2098.906,656.887,2050.95,2325.066
2098.9,659.517,2050.827,2322.847
2098.751,655.719,2050.654,2326.752
2099.045,654.442,2050.633,2328.544
2098.773,655.417,2050.668,2327.167
2098.843,659.509,2050.716,2323.109
2098.443,655.105,2050.444,2326.796
2098.568,659.948,2050.43,2321.794
2098.488,657.996,2050.108,2324.089
2098.688,657.633,2050.502,2325.123
2098.729,657.085,2050.415,2325.099
2098.79,658.996,2050.578,2323.641
2098.763,658.659,2050.677,2323.835
2098.507,660.801,2050.34,2321.964
